种 图形 明显 不同于 转移性
VEGF-C 表达 之间 的 关系
表达 率 明显 高于 无
病例 中 往往 比 低
也 是 相似 关系 （
实验 还 发现 一些 患者
还 发现 一些 患者 虽
的 LVD 明显 降低 （
甲状 腺癌 比较 均 有
易感性 的 研究 Blank Blank
回归 分析 显示 携带 有
的 风险 明显 低于 携带
） ； 当 排除 混杂
Blank 本 研究 中将 ATM
， 未 发现 ATM 基因
（ 单发 或 多发 ）
（ 同步 或 后 发
、 化疗 或 放疗 与否
、 化疗 或 放疗 与否
因素 分析 显示 生存 期
、 化疗 或 放疗 与否
Blank Blank 多 因素 分析
分析 则 显示 生存 期
转移 数目 接近 有 统计学
Blank Blank 根据 美国 NCI
的 毒性 评价 标准 （
CTC ） 评价 不良 反应
例 ， 最 常见 的 有
等 ， 多 为 Ⅰ 、
Blank Blank 将 合成 退火
一 段 约 360 bp
1 个 约 300 bp
， 测序 证实 插入 为
， 14d 可 见 克隆 形成
显微镜 下 观察 细胞 ，
细胞 发出 较 强 的
产物 ， 评价 各 组
图 3 可 见 ， pEGFP-C1/A2780
条带 ， 相对 表达 强度
印迹 法 验证 3 组
效应 ， 发现 包含 核心
具有 最为 明显 的 沉默
， 故 将 其 命名
图 4 可 见 ， pEGFP-Bub1-shRNA/A2780
Bub1 蛋白 相对 表达 强度
Bub1 蛋白 相对 表达 强度
表达 水平 较 其他 2
2 组 明显 降低 ，
抑制率 均 明显 低于 pEGFP-C1/A2780
A2780 细胞 之间 差异 无
图 7 可 见 ， 在
表 1 可 见 ， 1μmol/L
以上 数据 可以 看出 ， 转染
细胞 比例 明显 降低 ，
A2780 组 之间 则 差异
A2780 组 之间 的 差异
药物 摄取 研究 Blank Blank
， 大小 较 均匀 （
， 后者 约 为 前者 的
， 后者 约 为 前者 的
共聚焦 显微镜 观察 结果 可以
观察 结果 可以 看到 ，
差别 更加 明显 ， 游离
药物 组 基本 看 不
组 有 较 强 的
红色 荧光 主要 分布 于
内 ， 少量 分布 于
红色 荧光 可以 在 细胞质
细胞质 内 观察 到 ，
细胞核 内 基本 观察 不到
内 基本 观察 不到 。
表达 ， 大多 表达 减弱
表达 减弱 或 缺失 ；
阳性 表达 较 正常 肠
组织 降低 或 缺失 ，
分析 结果 显示 ， DKK3
相关 分析 显示 DKK3 低
关系 的 研究 Blank Blank
检测 结果 显示 ， 60
阳性 细胞 数 为 （
两 者 比较 差异 有
， 进一步 说明 MVD 与
Blank Blank 根据 着色 强度
Blank Blank 根据 Her-2 的
病 例数 偏多 ， 可能
偏多 ， 可能 与 同
患者 中 部分 病例 因
检测 本 研究 中 所
在 本 研究 中 有关
表 2 可 见 ， Epo-R
增多 ， 说明 Epo-R 和
Blank 分别 观察 各 项
的 大小 之间 的 关系
， 因此 将 Ⅱ/Ⅲ期 合并
合并 进行 比较 （ 表
Blank 结果 提示 ， Epo-R
， 结果 表明 ， 随着
μg/mL ； 表现 为 时间 和
Blank 结果 表明 ， 阴性
方法 ， 观察 华蟾 素
Blank 结果 表明 ， 华蟾素
， 并 呈现 剂量 依赖性
打结 ， 适当 时候 又
， 从而 可 催化 超螺旋
作用 ， 观察 华蟾 素
1μg/μL 时 完全 抑制 了
Blank 结果 表明 ， 华蟾素
统计 分析 显示 ， 0.42μg/mL组
0.21μg/mL组 相 比较 差异 有
PBR322 DNA 观察 华蟾 素
， 结果 表明 ， 华蟾素
Blank Blank 表明 华 蟾素
注射液 不 能 直接 引起
DNA 不 能 产生 直接
资料 经 比较 ， 差异
） 经 比较 ， 差异
患者 舒芬 太 尼 用量
间 经 比较 ， 差异
h 即 可 在 荧光
显微镜 下 观察 到 绿色
显微镜 下 观察 细胞 转染
， 仍 可 见 较 强
可 见 较 强 荧光
显微镜 下 观察 ， 阴性
呈棱 形 或 多角形 ，
数目 也 较 阴性 质粒
， 结果 显示 差异 具有
增殖 活性 明显 降低 ，
情况 结果 显示 ， 联
细胞 出现 明显 的 凋亡峰
检测 结果 显示 ， 细胞
两 组 之间 的 蛋白
蛋白 表达 明显 减弱 （
低 表达 或 缺失 ，
的 比值 表示 ， 结果
， 结果 显示 CHD5 乳腺
0.14 ） 明显 高于 乳腺癌
处理 ， 显示 CHD5mRNA 表达
等位基因 分布 比较 ， 差异
MS 2756AG型 较 MS 2756AA
G 等位基因 较 含有 A
乳腺癌 患病 相对 风险 度
Blank Blank 将 siRNA -
的 连续 观察 情况 （
Blank 结果 显示 ， 无意
生长 曲线 较为 一致 ，
生长 速度 明显 快于 siRNA
接种 后 约 第 18
） ， 表明 转染 siRNA
- Notch-1 可 显著 抑制
图 2 可 见 ， Notch-1
占 百分比 得出 ： siRNA
细胞 微核 含量 及 T细胞
的 临床 研究 Blank Blank
淋巴 细胞 研究 指标 CD3
HLA-DR 的 观察 ， 其
B 组 几乎 观察 不到
组 几乎 观察 不到 ，
减少 ， 少数 病例 甚至
甚至 未 能 检测 到
Blank Blank 显示 白介素 -
- 2 可以 上 调人
表达 ， 提示 IL-2 对
治疗 具有 一定 的 应用 价值
治疗 后患者 明显 减低 （
配对 t检验 显示 ： Ebp1
单变量 分析 显示 ： Ebp1mRNA
临床 参数 高度 相关 ，
的 表达 之间 差异 无
参数 的 多 因素 分析
因素 分析 将 各 因素
模型 进行 多 因素 分析
， 结果 表明 ： 年龄
两 对照组 比较 ， SKOV3siRNA
表达 水平 明显 降低 ，
组 细胞 比较 ， STAT3mRNA
两 对照组 比较 ， SKOV3siRNA
蛋白 表达 明显 更低 ，
SKOV3 组 比较 ， 细胞
抑制 率 明显 增加 ，
SKOV3 组 比较 ， 细胞
两 对照组 比较 ， SKOV3siRNA
细胞凋亡 率 明显 增加 ，
SKOV3 组 比较 ， 差异
体外 实验 研究 Blank Blank
细胞 增殖 明显 受到 抑制
组 相比 明显 下降 （
增殖 抑制 明显 呈正 相关
程度 有 很 大 差别 ，
差别 ， 说明 不同 细胞株
增殖 活力 较 强 的
， 受到 明显 的 抑制
细胞株 均 呈现 出 更
后 ， 多数 细胞 被
是 有 一定 的 影响 的
的 ， 主要 表现 在
， 主要 表现 在 持续
Blank 结果 显示 ， SPC
A 细胞 较 高 表达
- A 能 明显 降低
A 能 明显 降低 p-AKT
降低 更加 明显 ， 药物
表达 抑制 明显 相关 （
病例 对照 研究 Blank Blank
内 最为 明显 ， 给予
2d 内 往往 缓解 。
经 处理 多 在 1
次日 出现 少量 呕血 ，
呕血 ， 可能 与 肿瘤
和 穿孔 表现 。 Blank
例 ， 可能 与 反复
⑴ 肉眼 可 见 肿瘤 周围
至 1cm 左右 ， 化疗
化疗 效果 尤其 明显 。
效果 尤其 明显 。 Blank
CT 检查 显示 胃 周
术 中 发现 淋巴结 明显
发现 淋巴结 明显 缩小 ，
Blank Blank 根据 切除 标本
组织 病理 观察 ， 79
） ， 轻度 有效 47
例 ， 急性 心 衰
例 ， 急性 胰腺炎 1
例 ， 急性 心 衰
Blank 本 研究 200 例
的 生存率 比较 ， 1
年 生存率 比较 差异 有
Blank 本 研究 中 ，
两 组 比较 差异 无
两 组 比较 差异 均
人乳 腺癌 多 药 耐药
μmol/L ） 或 二 者
MTT 比色法 观察 细胞 生长
Blank 结果 显示 ， ADR
细胞 的 近 40 倍
50 值 接近 ， 分别
250.55 ， 可 明显 提高
， 可 明显 提高 ADR
仅 有 少量 出现 凋亡
检测 结果 显示 早期 凋亡
凋亡 细胞 明显 增高 （
结果 ， 证实 PHⅡ-7 明显
证实 PHⅡ-7 明显 抑制 MCF-7
抑制 作用 非常 明显 （
作用 非常 明显 （ 图
定量 PCR 相对 定量 结果
， 具有 明显 的 浓度
与 维拉帕米 相似 （ 图
内 荧光 明显 增强 （
） ； 提示 PHⅡ-7 可
提示 PHⅡ-7 可 抑制 MCF-7/ADR
细胞 的 研究 Blank Blank
显微镜 下 观察 发现 ，
下 观察 发现 ， 一部分
发现 ， 一部分 细胞 形成
呈 圆形 或 卵 球形
球体 折光性 较 强 （
球 ， 部分 细胞 贴
1 周 左右 待 培养液
、 数量 较 多 后 ，
20 代 左右 时 TS
缓慢 ， 部分 贴壁 分化
μmol/LRA 的 完全 培养液 中
培养液 中 大部分 TS 在
细胞 伸出 数 个 短的 突起
Blank 这 说明 NBTS 中的
d 即 可 形成 移植瘤
21d 才 可 成瘤 （
106 细胞 观察 至 2
以上 结果 可以 看出 ， TS
细胞 ， 表现 出 异于 其他
， 结果 发现 TS 细胞
荧光 检测 验证 Nestin 在
显微镜 下 可 见 TS 发出
阴性 ， 表明 TS 中
， 结果 显示 插入 的
的 序列 完全 一致 （
） ， 提示 成功 构建
检测 结果 显示 ， Hep-2
cortactin 蛋白 含量 为 2.05
组 经 比较 差异 无
蛋白 的 含量 分别 为
， 经 比较 差异 均
生长 曲线 可 知 ，
Hep-2 ） 比较 ， 细胞
生长 速度 明显 减慢 ，
组 对照组 之间 经 比较
之间 经 比较 ， 则
形成 实验 显示 ： Hep-2
， 结果 提示 ， pSilencer
的 克隆 数 及 克隆
克隆 面积 明显 低于 2
组间 经 比较 ， 差异
检测 结果 显示 ， pSilencer
的 细胞 数 分别 为
的 细胞 数 明显 减少
细胞 数 明显 减少 ，
而 对照组 之间 经 比较
之间 经 比较 ， 差异
结果 同样 显示 ： pSilencer
的 细胞 数 分别 为
对照组 经 比较 ， 穿过
的 细胞 数 明显 减少
细胞 数 明显 减少 ，
个 对照组 之间 ， 差异
检测 结果 提示 ， 蛋白
形式 ， 相对 分子 质量
质量 分别 约 为 100 ×
中 只有 相对 分子 质量
4.1B 的 相对 分子 质量
分子 质量 约 为 60 ×
一 条 相对 分子 质量
分子 质量 约 为 72 ×
一 条 相对 分子 质量
分子 质量 约 为 100 ×
有 表达 相对 分子 质量
分子 质量 约 为 100 ×
细胞 中 基本 不 表达
扫描 结果 显示 ， 4.1R
表达 则 呈现 出 相反
的 表达 急剧 下降 （
表达 则 几乎 完全 缺失
则 几乎 完全 缺失 （
细胞 中 主要 表达 在
细胞 中 主要 表达 在
， 4.1B 主要 定位 在
中 也 可 见 少量 表达
可 见 少量 表达 ；
中 则 主要 表达 在
细胞 中 主要 表达 在
细胞 中 主要 定位 在
也 有 少量 表达 ；
细胞 中 主要 表达 在
中 4.1N 主要 定位 于
中 仅 可 在 胞
胞 质 部分 观察 到
质 部分 观察 到 非常
观察 到 非常 微弱 的
测定 结果 表明 ， 10
时 无 明显 抑制 MGC
后 ， 能 减弱 EGCG
显微镜 下 观察 MGC 803
Blank 结果 表明 ， 10
， 没有 明显 影响 [
% ， 明显 高于 对照组
显微镜 下 观察 发现 ，
下 观察 发现 ， 经
细胞核 皱缩 或 碎裂 。
检测 结果 显示 ： 10
1.80% ， 明显 高于 对照组
峰 ， 说明 EGCG 具有
水平 没有 明显 影响 ，
2.30 ， 能 抑制 EGCG
X 线片 显示 ， 模型
骨 皮质 完全 缺失 （
胫骨 切片 显示 ， 骨髓
间 见 大量 肿瘤 细胞
细胞 ， 大部分 呈 活跃
骨髓 腔 完全 被 肿瘤
异型 性 明显 ， 骨
骨 皮质 完全 破坏 、
两 两 比较 差别 均
的 作用 研究 Blank Blank
Blank Blank 根据 mtDNA 的
剑桥 序列 比较 ， 在
血样 中共 发现 40 种种
变异 频率 比较 高 的
， 结果 显示 160 92
13.33% ， 明显 高于 潮汕
倍 群 推断 方法 见
13.33% ， 明显 高于 太行山
频率 也 较 低 为
变异 则 主要 存在 于
频率 均 很 低 （
Blank 结果 发现 潮汕 地区
频率 均 明显 高于 潮汕
的 临床 研究 Blank Blank
Blank Blank 绝大多数 患者 （
水平 ， 少数 患者 用药
不良 反应 主要 为 潮热
不良 反应 主要 为 焦虑
骨 矿物质 轻度 减少 （
在 -1~-2.0SD 之间 ， 4
DFS 率经 比较 ， 差异
OS 率经 比较 ， 差异
Blank 结果 显示 ， 年龄
和 （ 或 ） PR
Blank 结果 显示 ， pT
Blank Blank 是否 用 戈舍瑞林
药物 去势 可 使 其
和 overlapPCR 将 CD3VL 基因
， 后 将 上述 片段
Blank Blank 将 表达 载体
， 产量 约 为 5mg/L 。
Blank Westernblot 显示 ， 抗
抗体 只 能 与 带有
片段 的 相对 分子 质量
， 结果 表明 抗 CD3
抗 CD19diabody 能 与 Raji
结合 ， 说明 该 双
阳性率 为 接近 100% ，
Raji 细胞 或 Jurkat 细胞
特征 进行 比较 ， 结果
， 结果 显示 ， 除
曲线 分析 发现 糖尿病 组和
， 我们 发现 病理 分期
状态 及 是否 合并 糖尿病
为 排除 多 因素 间的
干扰 ， 将 表 2
， 结果 显示 淋巴结 阳性
Blank 为 比较 不同 亚组
中 均 显示 了 伴有
患者 预后 较 对照组 差
后 ， 发现 无论 ER
ER 阳性 或 阴性 ，
预后 均 较 对照组 差
被盖区 多巴胺 能 神经 元簇
VTA 多巴胺 能 神经元 进行
状态 ， 多数 细胞 （
为 规则 或 不规则 持续
与 以往 文献 报道 基本 一致
文献 报道 基本 一致 [
Blank 簇放电 通常 出现 在
细胞膜 电位 轻微 超极化 。
Blank Blank 一些 细胞 会
一些 细胞 会 在 膜
， 持续 几 个 周期 ，
， 而 有些 细胞 在
放电 状态 或 静息 状态
电位 幅值 很 小 甚至
Hz ] 约 为 对照 时
Blank 在 能 诱导 出簇
是 都 能 产生簇 放电
放电 ， 有些 细胞 在
起初 给药 会 产生簇 放电
， 随后 几 次 可能 只
几 次 可能 只 是
的 抬升 或 诱发 少量
或 诱发 少量 放电 。
的 特征 有些 不同 ，
电位 频率 略 低于 后者
L- 谷氨酸 或 卡巴 胆碱
例 多巴胺 能 神经元 上
， 多巴胺 能 神经元 只有
的 抬升 或 少数 放电
抬升 或 少数 放电 ；
膜 电位 或 产生 少数
或 产生 少数 放电 ；
谷氨酸 ， 可 诱导 出簇
L- 谷氨酸 或 卡巴 胆碱
给药 不 能 诱导 细胞
， 只有 当 卡巴 胆碱
， 才 能 使 多巴胺
使 多巴胺 能 神经元 产生簇
在 另 一 些 细胞 中
药 只 能 引起 细胞膜
去 极化 或是 放电 频率
给 药 能 产生簇 放电
氨酸 也 可以 使 多巴胺
使 多巴胺 能 神经元 产生簇
Blank Blank 可见 ， 在
氨酸 才 能 调节 神经元
同时 ， 一些 细胞 不论是
胆碱 分别 或 共同 作用
去 极化 或 产生 少量
或 产生 少量 放电 ，
的 抬升 或 产生 动作
时 ， 可以 产生 簇
兴奋 程度 较 L- 谷
提高 ， 可 见 L- 谷
调节 多巴胺 能 神经元 的
Blank Blank 当 卡巴 胆碱
释放 才 能 更 有效
调节 多巴胺 能 神经元 的
模拟 失重 可 增强 大
差异 ， 说明 SUS 组
肌湿 重 较 CON 组
减轻 了 约 25% （
） ， 显示 SUS 组
差别 ， 提示 模拟 失重
ra 无 明显 影响 。
条件 下 呈现 不同 的
两 根 或 多根 细长
的 长度 远 大于 细胞
这些 结果 表明 ， 血清
为 进一步 验证 血清 诱导
细胞 形态 是否 可逆 的
的 ， 将 嗅鞘 细胞
这些 结果 表明 ， 血清
为 进一步 验证 不同 血清
浓度 培养 是否 影响 嗅鞘
表达 ， 将 细胞 固定
Blank 采用 最 常用 的 嗅鞘 细胞
这些 结果 表明 ， 所
为 进一步 探讨 嗅鞘 细胞
相互 转化 是否 依赖 于
， 结果 显示 dB-cAMP 处理
dB-cAMP 处理 明显 改变 嗅鞘
与 对照组 比较 ， 50
提高 ， 尤其 在 500
数目 和 最 长 突起
， 结果 显示 ， dB-cAMP
dB-cAMP 药物 能 显著 促进
这些 结果 表明 ， 通过
水平 ， 能 促进 嗅鞘
为 进一步 考察 胞浆 第二
信使 cAMP 是否 通过 调节
paxillin 染色 发现 ， 在
未 形成 明显 应力 纤维
边缘 染色 很 弱 ，
弱 ， 表明 并 未
未 形成 明显 黏着 斑
边缘 染色 很 强 ，
， 形成 明显 的 应力
边缘 染色 很 强 ，
强 ， 表明 形成 明显
表明 形成 明显 的 黏着
这些 结果 显示 ， 血清
， 血清 很 可能 通过 促进
形成 受到 明显 抑制 ，
这些 结果 表明 ， cAMP
， cAMP 可能 通过 抑制
大鼠 主动脉 或 颈总 动脉
阳性 ， 提示 斑块 形成
未 出现 明显 变化 （
Blank 结果 显示 ： 大鼠
Blank 这 提示 c-Ski 与
Blank 我们 将 重组 的
中 ， 观察 其 对
- β 可以 刺激 大鼠
进行 反向 验证 。 Blank
Blank 结果 显示 ， 与
与 对照组 比较 ， 罗格列酮
水平 均 明显 升高 （
此 作用 可 被 PPAR
bp ， 发现 其 在
列出 了 多个 可能 的
了 多个 可能 的 PPAR γ
高 ， 说明 可能性 越大
Blank Blank 将 构建 重组
Blank 结果 显示 ， 与
处理 组 比较 ， 转染
表达 上调 约 2 倍
Blank Blank 提示 罗格列酮 上调
Westernblot 结果 显示 ： 缺
改变 ， 表明 U0126 有效
维持 在 较 低 的
24 h 完全 消失 ，
酸化 水平 略 有 下降
h 后 明显 降低 ，
， 结果 显示 缺 糖
细胞 活力 明显 低于 对照组
） ， 提示 U0126 阻断
， 结果 显示 在 缺
率 均 明显 高于 对照组
） ， 表明 U0126 阻断
使其 DNA 含量 低于 正常
AP峰 ， 根据 峰 面积
检测 结果 显示 在 缺
率 均 明显 高于 对照组
对照组 ， 表明 U0126 阻断
作用 ， 提示 GRP 75
荧光 结果 显示 ， 未
Cytc 染色 呈现 点状 ，
点状 ， 表明 其 位于
组 细胞 显示 出 弥漫
） ， 提示 Cytc 从
后 ， 大部分 U0126 处理
Blank Blank 几乎 所有 U0126
Hoechst33258 染色 显示 细胞 出现
h ， 大部分 细胞 才
Blank Blank 表明 U0126 阻断
作用 ， 提示 GRP 75
GRP 75 可能 通过 Raf/Mek/Erk
鼠类 的 比较 Blank Blank
， 结果 表明 ， 高原
图 2 显示 其 碱基
Blank Blank 预测 的 功能
3 ） 表明 ， 高原
鼠兔 没有 明显 的 差异
无论是 横切 还是 纵切 ，
RV/（LV+S ） 明显 高于 平原
） ， 表明 高原 组
形成 了 明显 的 HAPH
电镜 下 可见 ， 平原
内皮 细胞 大都 呈 扁平状
平滑肌 细胞 大多 含有 较多
大多 含有 较多 的 微丝 、
组 更 明显 （ 图
组 病变 基本 一致 （
表达 量 明显 增加 （
的 表达 较 高原 10
1 统计 比较 结果 显示
比较 结果 显示 ， 高原
显微镜 下 观察 ， 原代
h 后 大部分 贴壁 ，
后 即 可 第一 次
内皮 细胞 多 呈 小
Blank Blank 当 原代 细胞
h 生长 最 旺盛 ，
天 即 可 融合 ，
的 鹅卵石 或 铺路石 样
颗粒 ， 证实 均 为
且 纯度 较 高 （
Blank Blank 相对 静息 状态
） ， 相对 Spermine 组
为零 钙液 或 含钙 液时
） 均 可 完全 阻断
均 可 完全 阻断 Spermine
） ， 表现 在 Calhex
i 与 相对 静息 状态
i 作用 可 被 Filipin
1.5μg/mL ） 或 Cav-1 基因
） ， 表现 在 Filipin+Spermine组
升高 更 明显 ， Cav-1
亦 更 明显 ； Ve-hicle
显微镜 下 观察 同 一
蓝色 荧光 显示 为 细胞核
着色 ， 主要 定位 于
着色 ， 主要 定位 于
荧光 ， 主要 定位 于
胞膜 ， 可见 HUVECs 中
蛋白 的 相对 表达 ，
65mV ， 可以 记录 到
两 组 之间 膜 电容
） ， 表明 IL-1 β
Blank 结果 显示 ， IL-1
， 结果 表明 IL-1 β
这些 结果 显示 IL-1 β
通道 的 基本 特性 ，
的 作用 很 可能 是 通过
的 降低 很 可能 影响 动作
3 A 显示 了 一
电位 ， 可以 确定 其
幅度 等 基本 参数 。
的 降低 是否 影响 到
和 B 显示 了 对照组
压下 ， 可以 记录 到
激活 和 比较 慢 的
降低 幅度 约 为 15% 。
这个 结果 显示 IL-1 β
β 处理 很 可能 通过 抑制
Blank 结果 显示 ， 在
生长 呈 明显 的 抑制
所以 确定 最 佳 药物
倒置 显微镜 观察 显示 ，
显微镜 观察 显示 ， 随着
有 越来越 多 的 细胞
h 时 明显 有 细胞
h ， 或 20 μmol/LGAA
DNA 百分 含量 减少 ，
DNA 百分 含量 、 TM
增加 ， 说明 随着 GAA
内即 出现 明显 的 绿色
